,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,SEASON
4,Toronto Raptors,1610612761,4,0,4,0.0,197.0,95.4,112.5,-17.0,96.9,15.0,0.19,0.73,0.444,0.119,14,14,1,14,14,15,16,16,14,16,14,16,2,5,2014-15
5,San Antonio Spurs,1610612759,7,3,4,0.429,341.0,106.7,104.4,2.3,96.3,18.1,0.248,0.786,0.509,0.125,9,9,1,9,9,1,9,5,2,7,1,5,4,6,2014-15
6,Golden State Warriors,1610612744,21,16,5,0.762,1023.0,106.4,97.4,9.0,96.1,18.3,0.262,0.753,0.511,0.151,1,1,10,1,1,2,1,1,1,5,7,3,16,7,2014-15
7,Brooklyn Nets,1610612751,6,2,4,0.333,293.0,99.1,103.6,-4.5,96.0,16.8,0.21,0.778,0.494,0.148,10,10,1,10,11,12,8,11,7,15,3,10,13,8,2014-15
8,Atlanta Hawks,1610612737,16,8,8,0.5,778.0,101.0,101.0,0.0,95.9,18.1,0.216,0.747,0.481,0.131,4,4,15,6,4,9,5,7,3,13,10,12,6,9,2014-15
9,Boston Celtics,1610612738,4,0,4,0.0,192.0,97.2,110.2,-13.0,95.9,15.7,0.222,0.719,0.464,0.139,14,14,1,14,16,14,14,15,11,11,15,15,10,9,2014-15
10,Milwaukee Bucks,1610612749,6,2,4,0.333,298.0,90.0,101.0,-11.0,95.7,15.5,0.239,0.735,0.466,0.134,10,10,1,10,10,16,6,14,12,8,13,14,7,11,2014-15
11,Portland Trail Blazers,1610612757,5,1,4,0.2,240.0,99.0,106.1,-7.1,94.7,13.7,0.222,0.781,0.498,0.122,12,12,1,12,12,13,11,12,16,11,2,8,3,12,2014-15
12,New Orleans Pelicans,1610612740,4,0,4,0.0,197.0,104.1,111.6,-7.6,94.6,17.5,0.249,0.691,0.475,0.139,14,14,1,14,14,5,15,13,4,6,16,13,11,13,2014-15
13,Memphis Grizzlies,1610612763,11,6,5,0.545,528.0,100.2,102.0,-1.8,94.3,16.0,0.237,0.772,0.499,0.116,7,6,10,4,7,11,7,8,9,10,6,7,1,14,2014-15
14,Cleveland Cavaliers,1610612739,20,14,6,0.7,975.0,104.0,100.3,3.6,93.5,14.2,0.281,0.775,0.532,0.136,2,2,12,2,2,6,4,3,15,2,4,1,8,15,2014-15
15,Chicago Bulls,1610612741,12,6,6,0.5,586.0,100.5,98.1,2.4,93.4,17.0,0.268,0.743,0.51,0.147,6,6,12,6,6,10,2,4,6,4,12,4,12,16,2014-15
0,Boston Celtics,1610612738,6,2,4,0.333,293.0,91.3,97.7,-6.3,101.1,15.5,0.215,0.806,0.492,0.143,11,11,1,11,11,14,1,10,9,12,1,8,12,1,2015-16
1,Houston Rockets,1610612745,5,1,4,0.2,240.0,89.2,110.1,-20.9,101.1,13.3,0.299,0.771,0.521,0.186,13,13,1,13,13,16,13,15,14,1,7,4,16,1,2015-16
2,Golden State Warriors,1610612744,24,15,9,0.625,1157.0,108.4,102.1,6.3,99.8,17.9,0.239,0.724,0.485,0.141,1,2,15,2,1,3,7,3,2,7,12,10,10,3,2015-16
3,Portland Trail Blazers,1610612757,11,5,6,0.455,533.0,104.5,108.7,-4.2,98.8,15.8,0.266,0.755,0.504,0.13,6,7,11,7,6,6,12,9,7,5,9,5,6,4,2015-16
4,Atlanta Hawks,1610612737,10,4,6,0.4,485.0,100.8,101.6,-0.8,98.4,17.2,0.207,0.75,0.491,0.145,7,8,11,10,7,10,5,8,3,13,11,9,13,5,2015-16
5,Oklahoma City Thunder,1610612760,18,11,7,0.611,864.0,108.5,103.2,5.3,98.0,15.5,0.296,0.787,0.546,0.142,4,3,13,3,4,2,8,4,8,2,4,1,11,6,2015-16
6,LA Clippers,1610612746,6,2,4,0.333,288.0,102.2,101.8,0.4,95.9,14.3,0.235,0.713,0.476,0.1,11,11,1,11,12,9,6,7,11,8,14,12,1,7,2015-16
7,Dallas Mavericks,1610612742,5,1,4,0.2,240.0,99.3,117.7,-18.4,94.8,16.5,0.215,0.655,0.426,0.125,13,13,1,13,13,11,16,14,6,11,16,16,5,8,2015-16
